SL NO,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short Description,Description,In stock?,Sold individually?,Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Position,Meta: _specifications_display_attributes,Meta: _per_product_admin_commission_type,product-url,image_url
,simple,,78L05 5V 100mA Positive Regulator,1,0,visible,,"78L05 5V 100mA Positive Regulator 
",1,0,1,Thanks for purchasing,,5.00,"Passive Components,IC",,Dhaka Only,0000731_j177-transistor-p-channel-fet-to-92-national-semiconductors-nos-1000x1000.jpeg,0,yes,percentage,https://www.electronics.com.bd/Passive-Components/Passive-Components-ic/78L05-parts-IC-module-sensor-arduino-transistor-resistor-capacitor-robotics-project-electronics-bangladesh,https://www.electronics.com.bd/image/cache/catalog/ICs/0000731_j177-transistor-p-channel-fet-to-92-national-semiconductors-nos-1000x1000.jpeg
,simple,,Resistor 91 ohm 1/4W 0.25W 1% METAL FILM (Limited Quantity),1,0,visible,,"Specifications 
Power : 0.25 Watts 
Tolerance : 1% 
Low noise, Low voltage coefficient 
Resistor Type : Metal Film 
Lead Free 
RoHS 
",1,0,1,Thanks for purchasing,,2.00,"Passive Components,Resistors",,Dhaka Only,metal-film-resistor-1000x1000.jpg,0,yes,percentage,https://www.electronics.com.bd/Passive-Components/Passive-Components-resistors/resistor-91-ohm-1-4w-metal-film,https://www.electronics.com.bd/image/cache/catalog/resistor/metal-film-resistor-1000x1000.jpg
,simple,,Resistor 30K ohm 1/4w,1,0,visible,,"Resistor 30KΩ 1/4w 
",1,0,1,Thanks for purchasing,,0.25,"Passive Components,Resistors",,Dhaka Only,30k-ohm-1-4-w-resistor-electronics.com.bd-1000x1000.jpg,0,yes,percentage,https://www.electronics.com.bd/Passive-Components/Passive-Components-resistors/resistor-30k--1-4w-parts-ic-module-sensor-arduino-transistor-resistor-capacitor-robotics-project-electronics-bangladesh,https://www.electronics.com.bd/image/cache/catalog/30k-ohm-1-4-w-resistor-electronics.com.bd-1000x1000.jpg
,simple,,Resistor 2.7 ohm 1/2w,1,0,visible,,"Resistor 2.7Ω 1/2w 
",1,0,1,Thanks for purchasing,,1.00,"Passive Components,Resistors",,Dhaka Only,1-2res-parts-IC-module-sensor-arduino-transistor-resistor-capacitor-robotics-project-electronics-bangladesh-1000x1000.jpg,0,yes,percentage,https://www.electronics.com.bd/Passive-Components/Passive-Components-resistors/2.7-ohm-resistor-parts-ic-module-sensor-arduino-transistor-resistor-capacitor-robotics-project-electronics-bangladesh,https://www.electronics.com.bd/image/cache/catalog/sho/1-2res-parts-IC-module-sensor-arduino-transistor-resistor-capacitor-robotics-project-electronics-bangladesh-1000x1000.jpg
,simple,,Mylar 152pF Capacitor,1,0,visible,,"Mylar 152pF Capacitor 
",1,0,1,Thanks for purchasing,,2.00,"Passive Components,Capacitors",,Dhaka Only,mylar cap catagory picture-1000x1000.jpg,0,yes,percentage,https://www.electronics.com.bd/Passive-Components/Passive-Components-capacitors/Mylar-152pF-Capacitor,https://www.electronics.com.bd/image/cache/catalog/capacitor/mylar%20cap%20catagory%20picture-1000x1000.jpg
,simple,,Water Flow Sensor Flowmeter Hall Flow Sensor Water Control 1-30L/min 2.0MPa Operating Humidity Range 35%~90%RH,1,0,visible,,"Features: 
This product mainly used for water testing, water cooling system 
1, the lowest rated working voltage: DC4.5 5V-24V 
2, maximum operating current: 15 mA (DC 5V) 
3, working voltage range: DC 5~18 v 
4, load capacity: ≤ 10 mA (DC 5V) 
5, use temperature: ≤ 80 ℃ 
6, operating humidity range: 35%~90%RH (no frost) 
7, allowing pressure: pressure 2.0Mpa 
8, temperature: -25~+80 ° c 
9. External threads: 1/2"" 
10. High amplitude ≥ 4.6V 
11. Low amplitude ≤ 0.5V 
12. Electric strength 1250V/min 
13. Insulation resistance ≥ 100MΩ 
14. Hydrostatic pressure testing ≤ 2.0Mpa 
Application: 
water heaters, credit card machines, water vending machine, flow measurement device! 
Package Include: 
1x Water flow sensor 
",1,0,1,Thanks for purchasing,,650.00,"Active Components,Modules",,Dhaka Only,DC5-18v-New-Water-Flow-Sensor-Flowmeter-Hall-Flow-Sensor-Water-Control-parts-IC-module-sensor-arduino-transistor-resistor-capacitor-robotics-project-electronics-bangladesh-1000x1000.jpg,0,yes,percentage,https://www.electronics.com.bd/Active-Components/Active-Components-modules/dc5-18v-new-water-flow-sensor-flowmeter-hall-flow-sensor-water-control-parts-ic-module-sensor-arduino-transistor-resistor-capacitor,https://www.electronics.com.bd/image/cache/catalog/accessories/DC5-18v-New-Water-Flow-Sensor-Flowmeter-Hall-Flow-Sensor-Water-Control-parts-IC-module-sensor-arduino-transistor-resistor-capacitor-robotics-project-electronics-bangladesh-1000x1000.jpg
,simple,,Digital Clamp Meter with Multi-Functions (DT200),1,0,visible,,"Product Description 
3 1/2 digits LCD, Max. Reading 1999 
Data-hold function 
Low battery indication 
Audible continuity 
Function 
	 
Range 
	 
Accuracy 
DC voltage 
	 
600V 
	 
±(0.8%+1dgt) 
AC voltage 
	 
600V 
	 
±(0.5%+1dgt) 
AC current 
	 
20A-200A 
	 
±(2.0%+5dgt) 
Resistance test 
	 
20KΩ 
	 
±(1.0%+2dgt) 
Continuity test 
	 
Yes 
Diode test 
	 
Yes 
Power supply 
	 
1.5V*2 
Max display 
	 
1999 
Data hold 
	 
YES 
Weight 
	 
310g (including battery) 
Dimension 
	 
193L×63W×37Hmm 
",1,0,1,Thanks for purchasing,,"1,300.00","Active Components,Meters",,Dhaka Only,Digital-Clamp-Meter-with-Multi-Functions-DT200-parts-IC-module-sensor-arduino-transistor-resistor-capacitor-robotics-project-electronics-bangladesh-1000x1000.jpg,0,yes,percentage,https://www.electronics.com.bd/Active-Components/Active-Components-meters/Digital-Clamp-Meter-with-Multi-Functions-DT200-parts-IC-module-sensor-arduino-transistor-resistor-capacitor-robotics-project-electronics-bangladesh,https://www.electronics.com.bd/image/cache/catalog/meter/Digital-Clamp-Meter-with-Multi-Functions-DT200-parts-IC-module-sensor-arduino-transistor-resistor-capacitor-robotics-project-electronics-bangladesh-1000x1000.jpg
,simple,,Resistor 620K ohm 1/4w,1,0,visible,,"Resistor 620KΩ 1/4w 
",1,0,1,Thanks for purchasing,,0.25,"Passive Components,Resistors",,Dhaka Only,620k-ohm-1-4-w-resistor-electronics.com.bd-1000x1000.jpg,0,yes,percentage,https://www.electronics.com.bd/Passive-Components/Passive-Components-resistors/resistor-620k--1-4w-parts-ic-module-sensor-arduino-transistor-resistor-capacitor-robotics-project-electronics-bangladesh,https://www.electronics.com.bd/image/cache/catalog/620k-ohm-1-4-w-resistor-electronics.com.bd-1000x1000.jpg
,simple,,DC-DC 12-24V To 5V 3A Step Down Power Supply Module Voltage Buck Converter Adjustable 97.5% 1.8V 2.5V 3.3V 5V 9V 12V,1,0,visible,,"1: The new United States imported chips, definitely not homemade chips, disassemble chip. 
  
2: The maximum output current 3A, long-running 2.1A, sufficient margin. 
  
3: The new design, circuit design does not require electrolytic capacitors and tantalum capacitors (electrolytic capacitor life is short, tantalum risk of explosion). Now with the use of high-end large-size solid ceramic capacitor circuit (MCC) 2 Ke. 
  
4: The new program uses synchronous rectification circuit conversion efficiency is very high, in turn 5V 0.7A 6.5V when efficiency up to 97.5%, 12V turn 5V 1A, they also reached 94%, unlike some peers efficiency is only 60-70% . (Efficiency test removed the input reverse polarity protection diode and fuse drop). 
  
5: Big shielded inductor current, low resistance, to maximize conversion efficiency. Reduce heat. 
  
6: Ultra-small size, 20 (L) * 11 (W) * 5 (H) mm, the whole network to a minimum. 
  
7: Ultra-low quiescent current, quiescent current of 0.85 mA. Connected to the car battery without adding switches can be connected to the cigarette lighter line or the ACC power cable line. 
  
8: Output Integrated adjustable and fixed voltage, fixed output does not need customization, direct can be very voltage, potentiometer can adjust, versatility is very strong on the board under the spot welding 
  
9: Integration enabled port, default mode of operation, low close, bring convenience to control 
  
10: 78 series can be used to replace linear regulators, such as 78057812, and so on.  
",1,0,1,Thanks for purchasing,,150.00,"Active Components,Modules",,Dhaka Only,"Mini-DC-DC-12-24V-To-5V-3A-Step-Down-Power-Supply-Module-Voltage-Buck1-1000x1000.jpg,Mini-DC-DC-12-24V-To-5V-3A-Step-Down-Power-Supply-Module-Voltage-Buck-1000x1000.jpg",0,yes,percentage,https://www.electronics.com.bd/Active-Components/Active-Components-modules/Mini-DC-DC-12-24V-To-5V-3A-Step-Down-Power-Supply-Module-Voltage-Buck,"https://www.electronics.com.bd/image/cache/catalog/module/new/Mini-DC-DC-12-24V-To-5V-3A-Step-Down-Power-Supply-Module-Voltage-Buck-1000x1000.jpg,https://www.electronics.com.bd/image/cache/catalog/module/new/Mini-DC-DC-12-24V-To-5V-3A-Step-Down-Power-Supply-Module-Voltage-Buck1-1000x1000.jpg"
,simple,,RS232 to RS485 Communication Data Converter Adapter,1,0,visible,,"Description 
This is RS232 and RS485 two way converter, widely used in industrial automation environment: card read system, door surveillance system, parking lot system, ATM system, public transportation payment system, restaurant system, company attendance system, high way payment system, etc. 
The convert will convert TXD and RXD signal of RS232 to two line balance semiduplex RS-485 singal. No need to connect power, power will be supplied from pin 3 of RS-232, and send request signal from pin 7 RTS, pin4 will prepare alternative power for converter, auto data flow is no need to reset, very easy setup. 
Automatically detect the RS232 or RS485 and data way, so you can easily connect in either direction. 
Compact size, long range transmission, high speed. 
Compatible ETA/TIA RS-232C standard and RS-485 standard. 
Interface: DB9 connect for RS232, and RS485, including one extra DB9 to screw terminal board. 
Data speed 300~115-21BDS 
Working mode: Asynchronous half-duplex 
Transfer distance: 5 meters for RS-232 end, and 1200 meters for RS-485 end. 
Signal: 
RS-232: TXD, RXD, RTS, CTS, DTR, DSR, DCD, GND 
RS-485: Data+, Data-, GND 
Application: 
Convert signal from RS232 to RS485 
On the end for RS485, you can connect up to 32 RS485 devices, need mach resistor 120ohm 1/4w to prevent interference. 
Package not including any cables. 
",1,0,1,Thanks for purchasing,,450.00,"Active Components,Modules",,Dhaka Only,rs232 convator-1000x1000.jpg,0,yes,percentage,https://www.electronics.com.bd/Active-Components/Active-Components-modules/rs232-converter-parts-IC-module-sensor-arduino-transistor-resistor-capacitor-robotics-project-electronics-bangladesh,https://www.electronics.com.bd/image/cache/catalog/module/rs232%20convator-1000x1000.jpg
